hd,jcd,rno,waku,toban,grade,localWin,motor2
20250723,22,6,6,3582,A2,6.12,31.67
20250723,22,7,1,3701,B1,3.36,29.73
20250723,22,7,2,3882,B1,4.86,30.21
20250723,22,7,3,5120,B1,5.90,26.67
20250723,22,7,4,5158,A2,3.39,27.63
20250723,22,7,5,5369,B2,1.38,38.57
20250723,22,7,6,4237,A1,7.38,32.89
20250723,22,8,1,4319,A2,5.74,23.88
20250723,22,8,2,4134,A1,5.75,26.23
20250723,22,8,3,4060,B1,4.72,30.93
20250723,22,8,4,4529,A2,6.50,26.39
20250723,22,8,5,3587,B1,4.40,38.94
20250723,22,8,6,3989,B1,4.70,32.05
20250723,22,9,1,4409,A2,6.10,36.76
20250723,22,9,2,4789,B1,0.00,32.69
20250723,22,9,3,4887,A2,3.80,30.67
20250723,22,9,4,4241,A2,5.12,36.36
20250723,22,9,5,4950,B1,5.50,36.76
20250723,22,9,6,3293,B1,4.44,35.82
20250723,22,10,1,4704,A1,6.36,26.67
20250723,22,10,2,3822,A1,6.00,35.63
20250723,22,10,3,3582,A2,6.12,31.67
20250723,22,10,4,4498,B1,5.51,14.49
20250723,22,10,5,3578,B1,4.43,8.89
20250723,22,10,6,4155,A2,6.69,27.16
20250723,22,11,1,3532,A1,5.09,29.49
20250723,22,11,2,4051,A1,6.65,31.65
20250723,22,11,3,4027,A2,6.02,28.71
20250723,22,11,4,4603,A2,4.95,25.56
20250723,22,11,5,5298,B1,3.50,29.33
20250723,22,11,6,5158,A2,3.39,27.63
20250723,22,12,1,4074,A1,5.40,23.53
20250723,22,12,2,4677,A1,6.91,21.79
20250723,22,12,3,4237,A1,7.38,32.89
20250723,22,12,4,4052,A1,0.00,34.52
20250723,22,12,5,4736,A2,6.57,36.14
20250723,22,12,6,4134,A1,5.75,26.23
20250724,12,1,1,3566,B1,5.45,41.79
20250724,12,1,2,4156,A2,6.27,29.03
20250724,12,1,3,4753,B1,0.00,25.81
20250724,12,1,4,4834,B1,4.56,31.25
20250724,12,1,5,4423,B1,3.63,39.68
20250724,12,1,6,4382,B1,4.84,28.13
20250724,12,2,1,4273,B1,4.08,41.94
20250724,12,2,2,4570,A1,6.46,45.16
20250724,12,2,3,3907,B1,7.31,31.34
20250724,12,2,4,4557,A2,5.33,33.33
20250724,12,2,5,4895,B1,4.98,50.00
20250724,12,2,6,5000,B1,6.06,58.21
20250724,12,3,1,4202,B1,4.64,22.22
20250724,12,3,2,4159,A2,7.14,18.18
20250724,12,3,3,3690,B1,5.13,23.81
20250724,12,3,4,3563,B1,5.59,38.46
20250724,12,3,5,4446,A1,6.53,29.51
20250724,12,3,6,4044,A1,6.75,27.42
